99, 4950, 4900
999, 499500, 499665
9999, 49995000, 49985780
99999, 4999950000, 4999809066
4950, 4950, 4950
499500, 499500, 499500
49995000, 49995000, 49995000
4999950000, 4999950000, 4999950000
1382, 1134, 1266
20418, 17634, 19151
273914, 243394, 259687
3401710, 3094870, 3249693
99, 5049, 2548
999, 500499, 250982
9999, 50004999, 24955823
99999, 5000049999, 2519469822
356, 316, 542
5044, 4932, 8706
69008, 64608, 120473
853904, 815024, 1536324
525, 422, 475
8940, 7934, 8164
120012, 110003, 107057
1506803, 1406790, 1409192
99, 99, 99
999, 999, 999
9999, 9999, 9999
99999, 99999, 99999
4950, 4950, 4950
499500, 499500, 499500
49995000, 49995000, 49995000
4999950000, 4999950000, 4999950000
503, 763, 828
8006, 12706, 15525
120005, 182565, 275159
1500006, 2344566, 4289518
