0, 14850, 7347
0, 1498500, 746349
0, 149985000, 74957475 
0, 14999850000, 7522109469
200, 200, 200
2000, 2000, 2000
20000, 20000, 20000
200000, 200000, 200000
1923, 1551, 1746
29127, 24951, 27228
395871, 350091, 372732
4952565, 4492305, 4724538
0, 5049, 2544
0, 500499, 250973
0, 50004999, 24955813
0, 5000049999, 2519469806
1344, 1344, 1344
19952, 19952, 19952
267232, 267232, 267232
3337856, 3337856, 3337856
216, 366, 558
2928, 4428, 7839
24570, 39570, 101763
206784, 356784, 1258077
600, 600, 1000
8000, 8000, 10000
100000, 100000, 100000
1200000, 1200000, 1000000
0, 150, 282
0, 1500, 2976
0, 15000, 29970
0, 150000, 299904
0, 260, 325
0, 4700, 7519
0, 62560, 155554
0, 844560, 2789512
